ID,State,Description,Start_Date,PROJECT,Due_Date,Expiration_Date,Location,Context,Reminders,ACTIVITYs,Sub_TASKs,Parent_TASK
2868,Open, 1this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2869,Open, 1second this is what you need to do on project two,17ww27.Tue,project_two1,,,,,,[],[],
2870,Open, 1third this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2881,Open, this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2888,Open, another this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2889,Open, this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2890,Open, second this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2891,Open, second this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2906,Open, 1this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2907,Open, 1another this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2908,Open, 1this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2909,Open, 1second this is what you need to do on project two,17ww20.Mon,project_two1,,,,,,[],[],
2910,Open, 1third this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2921,Open, this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2928,Open, another this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2929,Open, this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2930,Open, second this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2931,Open, second this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2946,Open, 1this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2947,Open, 1another this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2948,Open, 1this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2949,Open, 1second this is what you need to do on project two,17ww13.Sun,project_two1,,,,,,[],[],
2950,Open, 1third this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2961,Open, this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2968,Open, another this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2969,Open, this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2970,Open, second this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2971,Open, second this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2986,Open, 1this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2987,Open, 1another this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2988,Open, 1this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2989,Open, 1second this is what you need to do on project two,17ww23.Fri,project_two1,,,,,,[],[],
2990,Open, 1third this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
3001,Open, this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3008,Open, another this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3009,Open, this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3010,Open, second this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3011,Open, second this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3026,Open, 1this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3027,Open, 1another this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3028,Open, 1this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3029,Open, 1second this is what you need to do on project two,17ww18.Fri,project_two1,,,,,,[],[],
3030,Open, 1third this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3041,Open, this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3048,Open, another this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3049,Open, this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3050,Open, second this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3051,Open, second this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3066,Open, 1this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3067,Open, 1another this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3068,Open, 1this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3069,Open, 1second this is what you need to do on project two,17ww17.Tue,project_two1,,,,,,[],[],
3070,Open, 1third this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
