ID,Description,End_Date,End_Time,PROJECT,Start_Date,State,TASK
2833, three1 this is some activity related to a taask,,,2394,17ww27.Tue,Started,
2834, four1 this is some activity related to a taask,,,2632,17ww27.Tue,OnHold,
2835, five1 this is some activity related to a taask,17ww17.Tue,,2472,17ww27.Tue,Ended,
2836, six1 this is some activity related to a taask,17ww20.Mon,,2617,17ww27.Tue,Ended,
2837, seven1 this is some activity related to a taask,,,2300,17ww27.Tue,Started,
2842, one this is some activity related to a taask,,,,17ww27.Tue,Started,2633
2852, one this is some activity related to a taask,,,,17ww27.Tue,OnHold,2359
2853, two this is some activity related to a taask,,,2435,17ww27.Tue,OnHold,
2854, three this is some activity related to a taask,17ww20.Mon,,2840,17ww27.Tue,Ended,
2855, four this is some activity related to a taask,,,2596,17ww27.Tue,Started,
2856, five this is some activity related to a taask,,,2638,17ww27.Tue,Started,
2857, six this is some activity related to a taask,,,,17ww27.Tue,Started,2622
2858, seven this is some activity related to a taask,,,2453,17ww27.Tue,Started,
2871, one1 this is some activity related to a taask,17ww18.Fri,,2491,17ww27.Tue,Ended,
2872, two1 this is some activity related to a taask,17ww17.Tue,,2413,17ww27.Tue,Started,
2873, three1 this is some activity related to a taask,17ww20.Mon,,2597,17ww27.Tue,Ended,
2874, four1 this is some activity related to a taask,,,,17ww27.Tue,OnHold,2343
2875, five1 this is some activity related to a taask,17ww17.Tue,,2654,17ww27.Tue,Ended,
2876, six1 this is some activity related to a taask,17ww13.Sun,,2450,17ww27.Tue,Ended,
2877, seven1 this is some activity related to a taask,,,,17ww27.Tue,Started,2319
2882, one this is some activity related to a taask,17ww23.Fri,,,17ww20.Mon,Ended,2454
2892, one this is some activity related to a taask,,,2726,17ww20.Mon,OnHold,
2893, two this is some activity related to a taask,,,,17ww20.Mon,Started,2828
2894, three this is some activity related to a taask,17ww18.Fri,,2592,17ww20.Mon,Ended,
2895, four this is some activity related to a taask,,,2297,17ww20.Mon,Started,
2896, five this is some activity related to a taask,17ww13.Sun,,2548,17ww20.Mon,Started,
2897, six this is some activity related to a taask,,,2532,17ww20.Mon,Started,
2898, seven this is some activity related to a taask,,,,17ww20.Mon,Started,2603
2911, one1 this is some activity related to a taask,,,2884,17ww20.Mon,Started,
2912, two1 this is some activity related to a taask,,,,17ww20.Mon,Started,2302
2913, three1 this is some activity related to a taask,,,2368,17ww20.Mon,Started,
2914, four1 this is some activity related to a taask,,,,17ww20.Mon,Started,2389
2915, five1 this is some activity related to a taask,,,2348,17ww20.Mon,Started,
2916, six1 this is some activity related to a taask,,,2515,17ww20.Mon,OnHold,
2917, seven1 this is some activity related to a taask,,,2722,17ww20.Mon,Started,
2922, one this is some activity related to a taask,,,,17ww13.Sun,Started,2456
2932, one this is some activity related to a taask,17ww17.Tue,,2552,17ww13.Sun,Ended,
2933, two this is some activity related to a taask,,,2491,17ww13.Sun,OnHold,
2934, three this is some activity related to a taask,,,,17ww13.Sun,OnHold,2319
2935, four this is some activity related to a taask,,,2512,17ww13.Sun,OnHold,
2936, five this is some activity related to a taask,,,,17ww13.Sun,Started,2374
2937, six this is some activity related to a taask,,,2706,17ww13.Sun,Started,
2938, seven this is some activity related to a taask,,,,17ww13.Sun,OnHold,2600
2951, one1 this is some activity related to a taask,,,,17ww13.Sun,Started,2476
2952, two1 this is some activity related to a taask,,,2652,17ww13.Sun,Started,
2953, three1 this is some activity related to a taask,17ww23.Fri,,,17ww13.Sun,Started,2397
2954, four1 this is some activity related to a taask,,,2493,17ww13.Sun,Started,
2955, five1 this is some activity related to a taask,,,,17ww13.Sun,Started,2374
2956, six1 this is some activity related to a taask,,,2599,17ww13.Sun,Started,
2957, seven1 this is some activity related to a taask,,,2300,17ww13.Sun,OnHold,
2962, one this is some activity related to a taask,,,,17ww23.Fri,OnHold,2518
2972, one this is some activity related to a taask,,,2371,17ww23.Fri,Started,
2973, two this is some activity related to a taask,,,2450,17ww23.Fri,Started,
2974, three this is some activity related to a taask,,,2865,17ww23.Fri,Started,
2975, four this is some activity related to a taask,,,2411,17ww23.Fri,Started,
2976, five this is some activity related to a taask,,,2570,17ww23.Fri,Started,
2977, six this is some activity related to a taask,17ww18.Fri,,2468,17ww23.Fri,Ended,
2978, seven this is some activity related to a taask,,,,17ww23.Fri,Started,2359
2991, one1 this is some activity related to a taask,,,2985,17ww23.Fri,Started,
2992, two1 this is some activity related to a taask,,,2531,17ww23.Fri,Started,
2993, three1 this is some activity related to a taask,,,,17ww23.Fri,Started,2732
2994, four1 this is some activity related to a taask,,,,17ww23.Fri,Started,2711
2995, five1 this is some activity related to a taask,,,2373,17ww23.Fri,Started,
2996, six1 this is some activity related to a taask,,,2572,17ww23.Fri,Started,
2997, seven1 this is some activity related to a taask,,,,17ww23.Fri,Started,2658
3002, one this is some activity related to a taask,,,2612,17ww18.Fri,Started,
3012, one this is some activity related to a taask,,,2339,17ww18.Fri,Started,
3013, two this is some activity related to a taask,,,,17ww18.Fri,Started,2929
3014, three this is some activity related to a taask,,,2927,17ww18.Fri,Started,
3015, four this is some activity related to a taask,,,,17ww18.Fri,Started,2456
3016, five this is some activity related to a taask,,,2652,17ww18.Fri,Started,
3017, six this is some activity related to a taask,,,,17ww18.Fri,Started,2396
3018, seven this is some activity related to a taask,,,2807,17ww18.Fri,Started,
3031, one1 this is some activity related to a taask,,,,17ww18.Fri,Started,2601
3032, two1 this is some activity related to a taask,,,2488,17ww18.Fri,Started,
3033, three1 this is some activity related to a taask,,,2927,17ww18.Fri,Started,
3034, four1 this is some activity related to a taask,,,2514,17ww18.Fri,Started,
3035, five1 this is some activity related to a taask,,,2884,17ww18.Fri,Started,
3036, six1 this is some activity related to a taask,,,2371,17ww18.Fri,Started,
3037, seven1 this is some activity related to a taask,17ww18.Fri,,2652,17ww18.Fri,Started,
3042, one this is some activity related to a taask,,,,17ww17.Tue,Started,3029
3052, one this is some activity related to a taask,,,2886,17ww17.Tue,Started,
3053, two this is some activity related to a taask,,,,17ww17.Tue,Started,2358
3054, three this is some activity related to a taask,,,,17ww17.Tue,Started,2436
3055, four this is some activity related to a taask,,,,17ww17.Tue,Started,2377
3056, five this is some activity related to a taask,,,2432,17ww17.Tue,Started,
3057, six this is some activity related to a taask,,,2514,17ww17.Tue,Started,
3058, seven this is some activity related to a taask,,,2318,17ww17.Tue,Started,
3071, one1 this is some activity related to a taask,,,,17ww17.Tue,Started,2356
3072, two1 this is some activity related to a taask,,,,17ww17.Tue,Started,2576
3073, three1 this is some activity related to a taask,,,2317,17ww17.Tue,Started,
3074, four1 this is some activity related to a taask,,,2532,17ww17.Tue,Started,
3075, five1 this is some activity related to a taask,,,2315,17ww17.Tue,Started,
3076, six1 this is some activity related to a taask,,,,17ww17.Tue,Started,2359
3077, seven1 this is some activity related to a taask,,,,17ww17.Tue,Started,2848
3164," some activity, not project or task",,,,17ww27.Fri,Started,
3166," some activity, not project or task",,,,17ww27.Fri,Started,
